>AA|ECRITURE IMMO|19 430 336 301,00|19 430 336 301,00
20520000|Logiciel DP - L 1 an|68 599 481,00|579 625,00
20521000|Logiciel DP - L 7 an|3 455 582,50|133 000,00
21111000|Terrains DP|1 321 696,00|107 544,00
21810000|Bat. Inst. Agen.DP|60 697 756,50|3 173 070,00
21820000|Véhi. Tourisme DP|1 337 674,00|0,00
21831000|Mat.informa. DP|18 768 180,00|940 739,00
21840000|Mob. Bureau DP|861 259,00|13 491,00
21882000|Mat. Exploit A19 DP|2 460 164,50|0,00
21884000|Mat. Roulant A19 DP|8 018 909,00|2 698 021,50
21885000|Informatique A19 DP|200 750,00|0,00
22501000|Terrains DC -En serv|17 716 334,50|1 526 254,50
22501010|Terrains DC -ES A86|70 000,00|0,00
22502000|Frs annexes - ES - D|15 290 872,00|781 566,00
22502010|Frs An - ES - DC A86|6 000,00|15 200,00
22503000|Concession ES - BNR|5 911 879 973,50|251 043 301,00
22503010|Conces ES-BNR A86|149 517 928,00|6 834 112,50
22504100|Bat. Inst. Div. DC|74 947 763,50|3 318 272,00
22504200|Bat. Inst. Aires Rep|19 896 930,50|6 494 824,50
22504300|Bat. Inst. Centre|100 932 015,00|6 342 723,50
22504400|Bat. Inst. Gares Péa|306 662 580,50|8 778 334,50
22504500|Bat. Inst. E.C.|776 765,00|0,00
22505500|Signalist° Verticale|209 374 120,50|3 445 582,50
22505600|Signalétique Co|39 231 453,50|16 088,00
22505900|Pylones|91 444 461,50|0,00
22506000|Mat. Exploit. DC|0,00|15 363 172,00
22507000|Mat. Divers DC|0,00|25 250,00
22507100|Mat. Expl. Divers|29 800 985,00|6 491 849,00
22507200|Mat. de Péage|210 586 739,50|20 825 433,00
22507210|Bornes Entrées|456 815 767,00|23 069 450,00
22507300|Mat. Viab/Sécur|8 449 686,00|1 591 053,50
22507400|Mat. Electrique|43 452 058,00|4 181 129,00
22507500|Mat. Elect. Vidéo|68 549 002,50|12 252 500,00
22507600|Mat. Atelier|1 732 870,00|291 051,00
22507700|Mat. Radio Télép|6 731 720,00|0,00
22507800|Equip. de la Route|31 315 255,50|565 862,50
22508100|Mat. Mob. de Bureau|15 653 266,50|89 089,50
22508200|Mat. Mob. E.C.|1 151 952,50|0,00
22509100|Mat. Bureautique|11 605 939,00|315 350,00
22509200|Mat. informatique|91 144 938,00|5 142 175,00
22511200|Logiciel Péage|435 046 738,00|9 484 221,50
22511400|Autres Log. Exploit.|237 214 054,00|9 039 572,50
22511500|Logiciel Gest° Bur.|1 000 706,00|245 000,00
22512100|Véhicules Tourism.|0,00|183 884,00
22513000|Véhi.util.léger- DC|0,00|1 146 314,00
22514000|Véhi.util.PL - DC|0,00|1 754 398,50
22514100|Mat. de Transport|324 150,00|0,00
22514200|Remorques|17 135 926,00|2 153 506,00
22514300|Véhi. de Salage|813 255,00|0,00
22514400|Véhi. Utilitaires|83 088 780,00|54 874 615,50
23100000|IMMOS en cours DP|90 763 262,00|87 715 010,00
23120000|Terrains DC -En cour|18 149 437,00|22 878 099,50
23121000|Frs annexes en cours|18 748 554,50|99 303 165,00
23130000|Concession EC/BNR|6 344 287 707,50|7 224 180 379,50
23150000|BR en cours DC|2 433 468 621,00|2 953 128 341,00
23199999|cpte Technique IMMO|1 602 902 082,00|8 577 158 115,00
28180000|Amts Mat. Exp. A19 D|163 279,00|0,00
28204000|Amts bat.inst. Agenc|23 379,50|10 178,00
28205000|Amts ouvrage DC|7 140,00|7 140,00
28206000|Amts Mat.exploi. DC|16 201 960,00|629 245,00
28207000|Amts matériel divers|25 250,00|0,00
28212000|Amts véh. tourisme D|183 884,00|0,00
28213000|Amts véh.ut.légers D|29 653 822,50|0,00
28214000|Amts véh. Ut. et PL|1 754 398,50|0,00
67520000|Val.Cpt.El.Actif Céd|25 000,00|2,00
67521400|Val.Cpt.Cess.Mat.Exp|60 177,00|0,00
67521900|Val.Cpt.Cess.Mat.Tra|18 835 907,50|0,00
>AB|Pièce comptable|35 883 276 642,50|35 883 276 642,50
16611800|Emp.FCP 1,5Me 5/14|0,00|75 000 000,00
16612470|Emp.FCP.1,26Me 04/09|63 000 000,00|0,00
16752000|Créanc.Collec.Locale|20,50|3,00
16752099|CréancColl.Locale CT|0,00|20,50
16884912|Int/SWAP-10/01-12330|22 137 500,00|0,00
16884945|Int/Emp.BEI 11/2008|34 154 623,00|0,00
16884951|Int/SWAP-04/03-SG510|72 240 555,50|0,00
16884952|Int/SWAP-04/03-BNP|597 622 500,00|0,00
16884953|Int/SWAP-04/03-SG555|60 782 222,50|0,00
16884954|Int/SWAP-04/03-CLY31|0,00|23 357 778,00
16884955|Int/SWAP-04/03-BNP75|0,00|72 622 500,00
16884956|Int/SWAP-04/03-NAT8N|0,00|19 524 444,50
16884960|Int/Emp. mai 2006|2 750 000 000,00|0,00
16884964|INT S/ SWAP-07/10-SG|169 740 278,00|442 265 555,50
16884990|ICNE Crédit Syndiqué|17 803 819,50|0,00
16886900|Int/Emp.FCP 05 2013|19 140 000,00|0,00
16887470|Int/Emp.FCP 04/2009|8 356 900,00|0,00
23199999|cpte Technique IMMO|0,00|228 452 409,50
40111000|Fournisseurs|1 764 375 762,00|1 387 190 299,00
40411000|Fournisseurs Immo.|1 174 340 945,00|1 097 847 349,00
40810000|FAR Charges HG|294 718,50|294 718,50
40810100|FAR Charges Groupe|150 025 215,50|150 025 215,50
40841110|FAR Immos HG|1 750 804,00|1 750 804,00
40841120|FAR Immos Groupe|3 034 252 528,00|3 034 252 528,00
40911000|Avanc.& Acpte./Comde|41 224,00|4 519 373,00
41111000|Clients Abonnés|11 261 642,50|9 831 274,00
41111100|Clients  TIS-PL|4 447 131,00|1 891 266 338,00
41112000|Clts Abt Contentieux|365 555,00|4 512 120,50
41113200|Dépôt  Cautions AA|0,00|225 000,00
41113400|Dépôt  Cautions IDF|350 000,00|300 000,00
41113500|Dépôt  Caution MAINE|400 000,00|50 000,00
41113700|Dépôts Cautions TP|0,00|40 000,00
41115000|Clients Autres|100 458 366,50|754 497 695,50
41611000|Clts.Douteux Abonnés|4 494 267,00|6 193 915,50
41911000|Dépts.Garant.Abonnés|1 806 634,50|538 153,00
42111000|Rémunérations dues|3 020 477 362,50|2 282 070 217,50
42511000|Pers:Notes de frais|24 031,50|0,00
42525100|Indemnités IJSS|445 965,00|121 487,50
42525200|Acomptes sur salaire|51 894 205,50|25 207 003,00
42525300|Salaires débiteurs|709,50|81 454,50
42525400|Prêts au personnel|1 177 000,00|635 000,00
42525500|Avance permanente|40 000,00|250 000,00
42527000|Saisies /oppositions|5 968 886,00|6 892 076,50
42611000|Plan d'Epargne|393 423 308,50|319 968 738,00
42841000|Prov.participat.Sal.|75 010 863,00|75 462 288,00
42842000|Intéressement .Sal.|39 879,50|65 144,50
43111000|URSSAF (Sté.Sle.)|1 086 190 263,50|1 284 297 926,00
43711000|REUNICA|202 666 327,00|0,00
43731000|PREVOYANCE COURCELLE|84 144 774,50|32,00
43741100|C.F.E.|355 961,00|0,00
43781000|ANCV Chèq.Vacances|4 901 500,00|0,00
43783000|CESU|4 925 920,00|0,00
43824000|Charges Sles.s/Cats|18 128 250,50|0,00
43861000|Ch.à Pay.Taxe Appr.|25 068 750,00|0,00
43862000|Ch.à Pay.Format.Prof|24 422 200,00|0,00
43864000|Ch.à Pay.Organic|94 038 000,00|0,00
44415000|Impôt s/Bénéfices|533 107 650,00|0,00
44521000|TVA due intraco|558 702,50|0,00
44566019|TVA Biens/Serv.(19,6|769 302,00|173 238,00
44566020|TVA DED DEBIT B&S20%|1 306 103,00|742 498,50
44571000|TVA COLLECT.intra|0,00|558 702,50
44571018|TVA coll.19,60 Péag.|296 057,50|320 572,50
44571023|TVA coll.s/enc. 10 %|15 437,50|0,00
44571028|TVA coll.s/enc 19,60|1 327,50|0,00
44571120|TVA coll.dbt 20%Péag|462 706,00|2 383 325,00
44571130|TVA coll.s/enc 20%|356 214,50|1 271,00
44587000|TVA/Fact.à établir|748,00|422,50
44732000|Taxe Prof./CET|29 649 500,00|0,00
44732500|Taxe foncieres|92 350,00|6 800,00
44741000|Taxes/véh. Société|7 972 100,00|0,00
44861000|Etat : TVA à payer|11 226 143 103,50|0,00
45102000|S.P.T.F.|1 648 987,00|0,00
45108000|CC Vinci Autoroutes|1 420 000 000,00|702 838 360,00
46702010|ARCOUR CISA|23 393 255,00|1 888 045,00
46702666|SCA PARTAGES|411 589 829,00|24 782,50
46702777|Clients Partages|512 107,50|418 256 504,50
46703400|Liber'T-Transv.Poit|0,00|513 495,50
46703500|Liber'T-Trans.Rétro.|2 290 881,00|5 000 812,50
46703600|Liber'T-cartes TOTAL|0,00|4 485,00
46704966|SCA RETROCESSION|14 451 611,50|60 818 421,50
46704977|Clients Rétrocession|185 216 610,00|95 845 982,50
46705000|Liber'T-COFI Fact.VP|0,00|4 800,00
46705800|Liber'T-ATLANDE fact|0,00|800,00
46705900|Liber'T-ALIS Factur.|0,00|3 295,00
46706000|Liber'T-AREA Factur.|0,00|1 645,00
46706100|Liber'T-ASF Factur.|0,00|34 791,50
46706200|Liber'T-ATMB Factur.|710,00|0,00
46706300|Liber'T-ESCOTA Fact.|0,00|25 275,00
46706400|Liber'T-SANEF Fact.|0,00|16 490,00
46706500|Liber'T-SAPN Fact.|0,00|11 205,00
46706600|Liber'T-SAPRR Fact.|0,00|17 475,00
46706700|Liber'T-SPTRF Fact.|0,00|365,00
46706800|Liber'T-MILLAU FACT|0,00|7 120,00
46706910|Liber'T-ALICOR Fact.|110,00|0,00
46706920|Liber'T-ALIENOR Fact|0,00|4 220,00
46707000|Liber'T-ARCOUR Fact.|0,00|2 420,00
46708770|RETROCESSION ADL|3 164 425,00|3 164 425,00
46708780|RETROCESSION LPA|2 489 175,00|2 497 275,00
46709400|UNEDIC - CATS|44 289 896,50|50 771 240,50
46711000|Débiteurs divers|0,00|25 000,00
46861100|Charges à payer -|1 058 750,00|27,00
47511100|Divers assurance|340 145,00|760 520,50
48802000|C.  attente foncier|229 300 509,50|167 800,00
51110610|V.E.-Sté.Gén. A86|2 880 400,00|1 970 840,00
51110611|V.E.-Sté.Gén.Alençon|0,00|50,00
51110612|V.E.-Sté.Gén.Rennes|8 904 640,00|55 764 601,50
51110613|V.E.-Sté.Gén.Angers|31 155,00|7 925,00
51110621|V.E.-Sté.Gén.Bourges|628 185,00|2 621 020,00
51110630|V.E.-Sté.Gén.Chartre|2 636 230,00|176 010,00
51110670|V.E.-Sté.Gén.Le Mans|53 628 750,00|10 112 645,00
51110675|V.E.-Sté.Gén.Nantes|2 464 923,50|7 584 785,50
51110680|V.E.-Sté.Gén.Orléans|11 548 375,00|3 902 945,00
51110682|V.E.-Sté.Gén.Poitier|19 341 380,50|21 865 220,50
51110690|V.E.-Sté.Gén.Tours|1 125 560,00|12 798 566,50
51112899|SINISTRE|0,00|196 269,00
51115612|A/V.dev.Sté.Gl.Renne|8 802,50|28 827,50
51115613|A/V.dev.Sté.Gl.Ange.|141,00|3 196,00
51115621|A/V.dev.Sté.Gl.Bour.|53 189,00|39 246,00
51115630|A/V.dev.Sté.Gl.Char.|293,00|5 423,50
51115670|A/V.dev.Sté.Gl.Mans|2 528,00|20 565,50
51115675|A/V.dev.Sté.Gl.Nant.|3 977,00|34 761,50
51115680|A/V.dev.Sté.Gl.Orl.|108 284,50|84 712,00
51115682|A/V.dev.S.G.Poitiers|1 813,50|1 658,50
51115690|A/V.dev.Sté.Gl.Tours|35 483,50|74 635,00
51120100|R.C.-BNP-PAR.Kléber|196 679,50|22 500,00
51120101|R.C.-BNP-PAR.Klé- RC|300 182,50|287 682,50
51120610|R.C.-Sté.Gén. A86|11 075,00|26 065,00
51120612|R.C.-Sté.Gén.Rennes|3 945,00|356 822,00
51120613|R.C.-Sté.Gén.Angers|20 600,00|550,00
51120621|R.C.-Sté.Gén.Bourg.|221 190,00|607 994,00
51120630|R.C.-Sté.Gén.Chartr.|0,00|575 869,00
51120670|R.C.-Sté.Gén.LeMans|353 037,00|5 335,00
51120675|R.C.-Sté.Gén.Nantes|17 435,00|2 125,00
51120680|R.C.-Sté.Gén.Orléans|724 044,00|31 663,50
51120682|R.C.-Sté.Gén.Poitier|31 130,00|60,00
51120690|R.C.-Sté.Gén.Tours|270 335,00|16 501,00
51125100|C.P.-BNP-PAR.Kléber|944 616,00|4 361 003,50
51125212|C.P.-BNP Ancenis|1 500,00|0,00
